Country Name,Year,Adolescents out of school (% of lower secondary school age),Children out of school (% of primary school age),Current account balance (% of GDP),Current health expenditure (% of GDP),"Current health expenditure per capita, PPP (current international $)","Debt service (PPG and IMF only, % of exports of goods, services and primary income)",Domestic general government health expenditure (% of general government expenditure),"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",Exports of goods and services (% of GDP),External debt stocks (% of GNI),"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net outflows (% of GDP)",GDP (current US$),GDP growth (annual %),GDP per capita (constant 2015 US$),GDP per capita growth (annual %),"Government expenditure on education, total (% of GDP)","Government expenditure on education, total (% of government expenditure)",Gross savings (% of GDP),"Immunization, DPT (% of children ages 12-23 months)",Imports of goods and services (% of GDP),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)","Literacy rate, youth (ages 15-24), gender parity index (GPI)","Literacy rate, youth total (% of people ages 15-24)","Mortality caused by road traffic injury (per 100,000 population)","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)","Mortality rate, infant (per 1,000 live births)","Mortality rate, under-5 (per 1,000 live births)","School enrollment, primary (% net)","School enrollment, primary (gross), gender parity index (GPI)","School enrollment, primary, female (% net)","School enrollment, primary, male (% net)","School enrollment, secondary (% net)","School enrollment, secondary (gross), gender parity index (GPI)","School enrollment, secondary, female (% net)","School enrollment, secondary, male (% net)","School enrollment, tertiary (% gross)","School enrollment, tertiary (gross), gender parity index (GPI)","School enrollment, tertiary, female (% gross)","School enrollment, tertiary, male (% gross)","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",Total reserves (% of total external debt),Total reserves in months of imports,Trade (% of GDP)
Indonesia,2020,6.69758679977918,2.67849622229802,-0.418606247736126,3.42067289,401.223289913644,15.2701597317085,10.24196243,0.0299999993294477,0.0599999986588955,0.0399999991059303,10.5600004196167,10.4799995422363,10.5200004577637,0.490000009536743,0.75,0.620000004768372,81.9300003051758,38.0999984741211,17.3311682848923,40.4899520829926,1.81058402027127,0.475197656129903,1059054842698.48,-2.06551182934165,3739.44906563161,-2.89423403981894,1.01593221347809,9.31964024456527,29.2246087288697,77.0,15.6410071153504,71.097,66.644,68.817,1.0,99.7799987792969,11.3,23.8,20.9,26.9,18.6,22.8,93.4963,0.967230021953583,90.9674,95.88766,78.73112,1.02502000331879,79.88474,77.64231,38.1650601406923,1.13023536613202,40.8939254732285,35.5680901166469,0.074,0.018,0.13,32.5908998182071,8.40697484639798,32.9721754002427
Lao PDR,2000,30.125,25.0247001647949,-0.489256566266576,4.27513599,79.4679235215617,7.93557916065931,6.19914436,0.252924772113108,0.759219423206985,0.501853678841377,2.52711237294896,5.82812150274552,4.15011311373286,2.52711237294896,5.82812150274552,4.15011311373286,57.2617301940918,17.9590577636255,30.6620036016085,152.434338096078,1.95760389973722,0.572394946816968,1731198022.46763,5.79878232861959,917.228038617529,4.03726532497247,1.50369000434876,7.295569896698,8.52946108553974,51.0,38.175297766224,59.875,56.776,58.317,0.839999973773956,80.5999984741211,13.8,34.3,30.6,38.1,86.8,107.5,75.85907,0.846400022506714,72.28151,79.34315,27.41947,0.700699985027313,24.04737,30.70103,2.64691996574402,0.532209992408752,1.82859003543854,3.43586993217468,8.18,3.41,13.0,5.70068870120329,2.71384845738404,68.8373013678325
Lao PDR,2001,31.0426692962646,25.6012496948242,-3.80683721990308,4.29031658,86.9184850004053,8.96835459152081,7.05502892,0.252924772113108,0.759219423206985,0.501853678841377,2.52711237294896,5.82812150274552,4.15011311373286,2.52711237294896,5.82812150274552,4.15011311373286,57.2617301940918,17.9590577636255,27.8731588735049,149.169270500604,1.35157901983042,0.0181214828873123,1768619058.34647,5.75141287983195,954.123505414634,4.02249661411516,1.9902800321579,9.94657039642334,1.39671283713829,52.0,38.0262780063432,60.568,57.233,58.887,0.899999976158142,78.4599990844727,13.4,34.0,30.3,37.9,84.1,103.4,75.377,0.851140022277832,71.90024,78.76963,28.96552,0.713060021400452,25.75092,32.0964,3.04713988304138,0.596780002117157,2.26731991767883,3.79923009872436,8.18,3.41,13.0,6.18550228637204,3.17630036911837,65.8994368798482
Lao PDR,2002,28.6459293365479,24.1644992828369,0.47045153495805,3.69751263,83.1760958955142,9.38373565745422,6.12984419,0.252924772113108,0.759219423206985,0.501853678841377,2.52711237294896,5.82812150274552,4.15011311373286,2.52711237294896,5.82812150274552,4.15011311373286,57.2617301940918,17.9590577636255,28.7525146642775,183.229264533177,0.253176893420544,0.011375421215492,1758176653.07746,5.91874368370564,994.492241963795,4.23097600258968,2.82522010803223,15.2626600265503,18.3676058439027,53.0,38.5023881880757,61.114,57.532,59.302,0.8949999809265134,79.82749938964847,13.6,33.2,29.5,37.0,81.3,99.1,76.5676,0.853510022163391,72.98971,80.06419,29.97322,0.723890006542206,26.72843,33.14153,4.05916023254395,0.573610007762909,2.94503998756409,5.13418006896973,7.38,3.06,11.76,7.29484962548755,5.2117864196819,67.2549028523532
Lao PDR,2003,28.2194099426269,21.5431003570557,-1.46818009608596,4.47920704,107.103912986389,10.9046914167053,6.83480501,0.252924772113108,0.759219423206985,0.501853678841377,2.52711237294896,5.82812150274552,4.15011311373286,2.52711237294896,5.82812150274552,4.15011311373286,57.2617301940918,17.9590577636255,23.5004331627788,127.831435110767,0.962969691363706,-0.0013087372397955,2023324407.28414,6.06700230344272,1038.71192767783,4.44645858943204,2.619110107421875,15.56887006759645,10.5647201858085,49.0,37.0716627200091,61.705,57.65,59.643,0.889999985694885,81.19499969482425,13.7,32.5,28.7,36.6,78.4,94.9,79.17625,0.858169972896576,75.57097,82.70484,33.31071,0.735459983348846,30.00867,36.54253,4.79725980758667,0.576380014419556,3.49166011810303,6.05785989761353,7.57,3.14,12.05,11.6023039766498,6.34255477289487,60.572095882788
Lao PDR,2004,27.074670791626,21.2237701416016,-7.53199402235116,3.5405724,91.8304346959128,9.95866247952164,5.85327101,0.252924772113108,0.759219423206985,0.501853678841377,2.52711237294896,5.82812150274552,4.15011311373286,2.52711237294896,5.82812150274552,4.15011311373286,57.2617301940918,17.9590577636255,24.9121225651615,122.797728173317,0.714895049062071,0.046729246051967,2366398119.86321,6.35769548008234,1088.76034728831,4.81831567317876,2.41300010681152,15.8750801086426,14.7224053912261,45.0,41.1676290571222,62.376,57.882,60.08,0.8849999904632565,82.56250000000003,13.8,32.1,28.2,36.2,75.6,90.8,79.84852,0.866580009460449,76.76117,82.87343,34.94459,0.745190024375916,31.75193,38.07587,5.579430103302,0.633270025253296,4.30999994277954,6.80589008331299,7.71,3.21,12.26,10.6295771157672,4.4270537582147,66.0797516222837
Lao PDR,2005,27.2877597808838,20.5861396789551,-6.35287280117623,3.33673191,93.6879452026679,8.06070314466916,5.91417122,0.252924772113108,0.759219423206985,0.501853678841377,2.52711237294896,5.82812150274552,4.15011311373286,2.52711237294896,5.82812150274552,4.15011311373286,57.2617301940918,17.9590577636255,28.9637357220067,116.229622636213,1.01332132437858,-0.0031770474856328,2735558734.7379,7.10756836811267,1148.68153852071,5.50361623488958,2.4140899181366,14.1292695999146,20.2448932624792,49.0,42.8289105517785,63.07,58.411,60.688,0.879999995231628,83.9300003051758,14.0,31.8,28.0,36.0,72.7,86.8,81.105,0.868420004844666,78.19326,83.95881,35.19979,0.751429975032806,32.1452,38.20056,7.60128021240234,0.723839998245239,6.36629009246826,8.79510974884033,7.82,3.27,12.43,10.5394202955653,3.9117441930446,71.7926462737852
Lao PDR,2006,27.62034034729,20.0300407409668,2.17967841617852,2.93200922,92.1419452936448,4.90925783204148,4.36346436,0.252924772113108,0.759219423206985,0.501853678841377,2.52711237294896,5.82812150274552,4.15011311373286,2.52711237294896,5.82812150274552,4.15011311373286,57.2617301940918,17.9590577636255,38.1550775230179,110.78425152654,5.42138961728604,1.70765518559021e-05,3455030060.9785,8.61926620832807,1228.08927619923,6.91294627933061,2.95879006385803,17.7623596191406,22.5660456436931,57.0,43.8062978932242,63.57,58.697,61.074,0.887999993562698,84.78300018310549,13.9,31.4,27.4,35.6,69.8,82.7,82.62215,0.873250007629395,79.59958,85.58326,34.41882,0.768660008907318,31.59431,37.19599,8.78625965118408,0.689379990100861,7.14925003051758,10.3705701828003,8.45,3.55,13.39,13.3557899605963,4.94112236296725,81.9613754162421
Lao PDR,2007,28.0316600799561,17.5330009460449,3.30099767237269,3.12986231,106.445277999075,4.89242442094496,3.90299487,0.252924772113108,0.759219423206985,0.501853678841377,2.52711237294896,5.82812150274552,4.15011311373286,2.52711237294896,5.82812150274552,4.15011311373286,57.2617301940918,17.9590577636255,33.6143130828635,117.627795477078,7.66062749777557,0.508438631676826,4223152739.04052,7.59682880054878,1301.08597549864,5.94392449426221,3.07841992378235,18.1017894744873,19.1390749703003,50.0,45.5983158206633,64.222,59.295,61.694,0.895999991893768,85.63600006103518,14.2,30.7,26.7,34.9,66.9,78.8,85.23456,0.88170999288559,82.37669,88.03607,35.52986,0.777130007743835,32.74447,38.27342,11.2626600265503,0.732749998569489,9.50275993347168,12.9686098098755,9.04,3.81,14.31,15.2454038318008,7.2938477586096,79.2126289035269
Lao PDR,2008,25.7485599517822,15.2693004608154,1.42375423290882,2.76727295,98.7704004191396,5.15959409740225,3.19745922,0.252924772113108,0.759219423206985,0.501853678841377,2.52711237294896,5.82812150274552,4.15011311373286,2.52711237294896,5.82812150274552,4.15011311373286,57.2617301940918,17.9590577636255,33.1540804750868,104.977445749086,4.18200303606929,-0.310881993970516,5446433157.40114,7.82490276337012,1381.73754223953,6.19878841672832,2.27854990959167,13.0052099227905,14.0313169724442,61.0,48.695101619045,64.692,59.925,62.248,0.903999990224838,86.48899993896487,14.1,30.4,26.4,34.6,64.1,75.0,87.67267,0.891240000724792,85.11859,90.1759,36.52896,0.792750000953674,34.05004,38.97248,13.0783004760742,0.783850014209747,11.4731597900391,14.6368503570557,9.68,4.09,15.28,16.5472098643128,6.81036783523246,81.8491820941317
Lao PDR,2009,24.0750102996826,12.95458984375,-1.04359478297296,3.46300411,133.118344120013,6.39452721345903,5.70376587,0.252924772113108,0.759219423206985,0.501853678841377,2.52711237294896,5.82812150274552,4.15011311373286,2.52711237294896,5.82812150274552,4.15011311373286,57.2617301940918,17.9590577636255,30.0830696746432,108.962711915111,5.45905949594973,0.0430471364551999,5836137329.63305,7.50177491225853,1463.3379666846,5.90563851314371,1.65485000610352,7.46309995651245,16.6210480089581,67.0,46.8477565440088,65.432,60.734,63.023,0.911999988555908,87.34199981689456,14.2,29.8,25.8,33.9,61.3,71.4,89.97949,0.903169989585876,87.95014,91.96623,38.11272,0.806379973888397,35.6518,40.5377,16.2123508453369,0.801580011844635,14.40505027771,17.9707698822021,10.06,4.25,15.88,16.5611001511003,7.2859643744572,76.930826218652
Lao PDR,2010,28.5725002288818,8.25074005126953,0.410966616116085,2.91154933,115.67115135345,4.00705539797385,2.69455552,0.252924772113108,0.759219423206985,0.501853678841377,2.52711237294896,5.82812150274552,4.15011311373286,2.52711237294896,5.82812150274552,4.15011311373286,57.2617301940918,17.9590577636255,35.384026037956,95.0325837576076,3.90935018167503,0.469097646727878,7131771014.70456,8.52690551739717,1564.91068311647,6.94116593325336,1.70978999137878,7.24696016311646,9.67471725208214,74.0,49.3363118537116,66.083,61.419,63.69,0.9199999868869779,88.19499969482425,14.3,29.2,25.2,33.3,58.7,68.0,94.53585,0.914420008659363,92.50821,96.51666,39.96589,0.820959985256195,37.70622,42.1889,16.6638298034668,0.770060002803802,14.475640296936,18.7980308532715,10.42,4.4,16.42,19.0315234456726,5.9002604798796,84.7203378916677
Lao PDR,2011,28.3618268919893,7.97373308710307,-2.35798203498442,1.94457507,81.6579739874758,6.69247718423012,1.81748676,0.20583975711461172,0.6239460162060653,0.41135219276856966,2.51046990024375,5.599366514946478,4.027225682453182,2.064496849777316,4.799734747782933,3.4089137382455004,57.2617301940918,18.32440124439028,40.3431560976816,84.2580581799268,3.43702755895922,0.0040999509799678,8750104617.17303,8.03865268023725,1666.40086189871,6.48536557882839,1.70801997184753,8.2595796585083,18.4030781501972,76.0,51.35553977034,66.882,62.254,64.505,0.9279999852180479,89.04799957275394,14.0,28.6,24.7,32.6,56.1,64.7,94.33115,0.927039921283722,92.8464,95.77693,40.66093,0.840677499771118,38.42207,42.85815,17.4954696423161,0.74341675154097,14.8946694010488,20.035423428615,10.7,4.52,16.87,17.3545104321508,4.96818599403534,91.6986958680216
Lao PDR,2012,26.5952146036753,7.48299684250997,-7.33751463250306,2.07637572,99.2704324425846,5.42897319858775,1.7665906,0.15875474211611548,0.48867260920514555,0.3208507066957623,2.49382742753854,5.370611527147436,3.904338251173504,1.6018813266056728,3.771347992820346,2.667714362758141,57.2617301940918,18.68974472515506,37.8767283501759,75.2648139935419,6.06067602678934,-0.165398136119021,10192846339.4029,8.02609843461283,1774.63585203672,6.49513527103458,1.82147002220154,7.36839008331299,6.86800094502208,77.0,60.3083980811903,67.452,62.925,65.126,0.935999983549118,89.90099945068363,14.2,28.2,24.3,32.1,53.7,61.5,94.32175,0.934065043926239,92.82731,95.77593,43.58459,0.861039996147156,41.55887,45.5731,17.330766926856,0.837760602445378,15.7861364549263,18.843254754219,10.73,4.53,16.91,17.925484647541,3.88065756169457,98.1851264313662
Lao PDR,2013,25.2182060913621,4.98057275980058,-7.82702813174138,2.39984965,125.310530168583,5.78521523904814,2.94007111,0.11166972711761924,0.3533992022042258,0.23034922062295504,2.47718495483333,5.141856539348394,3.7814508198938257,1.139265803434029,2.7429612378577586,1.9265149872707816,57.2617301940918,19.05508820591984,38.1731033983004,70.3766803245105,5.68624628337024,-0.238427992268801,11983252626.5452,8.02630022699017,1890.27861294875,6.51642199042166,3.23380994796753,13.341010093689,5.71723106857918,83.0,60.00604321766,68.001,63.569,65.723,0.943999981880188,90.75399932861332,14.3,28.0,24.2,31.8,51.4,58.6,96.23668,0.940358936786652,94.89142,97.54316,47.07239,0.879565834999084,45.48018,48.63331,18.9224448772621,0.888594282575655,17.7961753129667,20.0273349288083,10.82,4.56,17.05,13.5829790332344,2.9760379272709,98.1791466159604
Lao PDR,2014,21.6153345587742,3.97502346101157,-14.4922715355556,2.29845548,133.276051541519,5.34389366114338,2.7363534,0.06458471211912298,0.2181257952033061,0.1398477345501477,2.4605424821281203,4.913101551549352,3.658563388614148,0.6766502802623855,1.7145744828951717,1.1853156117834223,57.2617301940918,19.42043168668462,40.7545466511497,74.2873303911514,6.53385086120159,0.0531472794651221,13279245886.3854,7.61196343979319,2006.31195444447,6.13842534644749,2.93780994415283,11.7573499679565,10.1718371634744,83.0,58.3051916421903,68.553,64.268,66.35,0.951999980211258,91.60699920654301,16.4,27.9,24.0,31.7,49.2,55.8,96.5434,0.946547389030457,95.39933,97.65193,52.32234,0.904829978942871,51.07426,53.54347,18.4954952643985,0.933459406039711,17.853631047193,19.1263068663464,11.02,4.64,17.35,13.0803934625049,2.31357537630688,99.0597382933399
Lao PDR,2015,20.2257429385074,4.82591130118299,-15.7184889292204,2.45366454,149.331132502307,5.3856616303859,3.35080194,0.0174996971206267,0.0828523882023864,0.0493462484773404,2.44390000942291,4.68434656375031,3.53567595733447,0.214034757090742,0.686187727932585,0.444116236296063,57.2617301940918,19.7857751674494,33.9522573081909,83.3437474242682,7.47075777292731,0.275169289274828,14426380125.6488,7.27006584373785,2121.01339097363,5.71702901311374,2.73689787884215,10.4693968971705,10.7473654724725,82.0,51.8460643954901,68.896,64.61,66.688,0.959999978542328,92.4599990844727,15.2,27.6,23.6,31.5,47.1,53.2,94.89325,0.954333245754242,94.01312,95.74466,55.82319,0.918046295642853,54.81054,56.81232,18.1574846273063,0.962548723950486,17.8083221104104,18.5012162681195,11.31,4.76,17.8,9.3039154789641,1.80328501860489,85.798321703681
